Paper ID,Publishable,Conference,Rationale
P001,0,NA,Detailed rationale here
P002,0,NA,Detailed rationale here
P003,0,NA,Detailed rationale here
P004,0,NA,Detailed rationale here
P005,0,NA,Detailed rationale here
P006,1,CVPR,Detailed rationale here
P007,1,CVPR,Detailed rationale here
P008,1,EMNLP,Detailed rationale here
P009,1,EMNLP,Detailed rationale here
P010,1,KDD,Detailed rationale here
P011,1,KDD,Detailed rationale here
P012,1,NeurlPS,Detailed rationale here
P013,1,NeurlPS,Detailed rationale here
P014,1,TMLR,Detailed rationale here
P015,1,TMLR,Detailed rationale here
P016,1,NA,NA
P017,1,NA,NA
P018,1,NA,NA
P019,1,NA,NA
P020,1,NA,NA
P021,1,NA,NA
P022,1,NA,NA
P023,1,NA,NA
P024,1,NA,NA
P025,1,NA,NA
P026,1,NA,NA
P027,1,NA,NA
P028,1,NA,NA
P029,1,NA,NA
P030,1,NA,NA
P031,1,NA,NA
P032,1,NA,NA
P033,1,NA,NA
P034,1,NA,NA
P035,1,NA,NA
P036,1,NA,NA
P037,1,NA,NA
P038,1,NA,NA
P039,1,NA,NA
P040,1,NA,NA
P041,1,NA,NA
P042,1,NA,NA
P043,1,NA,NA
P044,1,NA,NA
P045,1,NA,NA
P046,1,NA,NA
P047,1,NA,NA
P048,1,NA,NA
P049,1,NA,NA
P050,1,NA,NA
P051,1,NA,NA
P052,1,NA,NA
P053,1,NA,NA
P054,1,NA,NA
P055,1,NA,NA
P056,1,NA,NA
P057,1,NA,NA
P058,1,NA,NA
P059,1,NA,NA
P060,1,NA,NA
P061,1,NA,NA
P062,1,NA,NA
P063,1,NA,NA
P064,1,NA,NA
P065,1,NA,NA
P066,1,NA,NA
P067,1,NA,NA
P068,1,NA,NA
P069,1,NA,NA
P070,1,NA,NA
P071,1,NA,NA
P072,1,NA,NA
P073,1,NA,NA
P074,1,NA,NA
P075,1,NA,NA
P076,1,NA,NA
P077,1,NA,NA
P078,1,NA,NA
P079,1,NA,NA
P080,1,NA,NA
P081,1,NA,NA
P082,1,NA,NA
P083,1,NA,NA
P084,1,NA,NA
P085,1,NA,NA
P086,1,NA,NA
P087,1,NA,NA
P088,1,NA,NA
P089,1,NA,NA
P090,1,NA,NA
P091,1,NA,NA
P092,1,NA,NA
P093,1,NA,NA
P094,1,NA,NA
P095,1,NA,NA
P096,1,NA,NA
P097,1,NA,NA
P098,1,NA,NA
P099,1,NA,NA
P100,1,NA,NA
P101,1,NA,NA
P102,1,NA,NA
P103,1,NA,NA
P104,1,NA,NA
P105,1,NA,NA
P106,1,NA,NA
P107,1,NA,NA
P108,1,NA,NA
P109,1,NA,NA
P110,1,NA,NA
P111,1,NA,NA
P112,1,NA,NA
P113,1,NA,NA
P114,1,NA,NA
P115,1,NA,NA
P116,1,NA,NA
P117,1,NA,NA
P118,1,NA,NA
P119,1,NA,NA
P120,1,NA,NA
P121,1,NA,NA
P122,1,NA,NA
P123,1,NA,NA
P124,1,NA,NA
P125,1,NA,NA
P126,1,NA,NA
P127,1,NA,NA
P128,1,NA,NA
P129,1,NA,NA
P130,1,NA,NA
P131,1,NA,NA
P132,1,NA,NA
P133,1,NA,NA
P134,1,NA,NA
P135,1,NA,NA
